Insight_Category,Cost_Category,Number_of_Tracts,Avg_Rent,Min_Rent,Max_Rent,Percent_of_Market
6. MARKET SEGMENTATION BY COST,Luxury,7,3015,2661,3367,3.89
6. MARKET SEGMENTATION BY COST,Premium,73,2059,1803,2493,40.56
6. MARKET SEGMENTATION BY COST,Moderate,76,1563,1217,1791,42.22
6. MARKET SEGMENTATION BY COST,Affordable,5,1065,892,1200,2.78
6. MARKET SEGMENTATION BY COST,Budget,19,0,0,0,10.56
